Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
0_Sport_1900,Sport,1900,72929.88687356886,5.0,1002423.9019227494,364649.4343678443,190673.80144468986,13.745035744543934
0_Sport_1955,Sport,1955,60540.49103749914,5.0,832131.2133026673,302702.4551874957,158281.9617896831,13.745035744543934
0_Sport_1975,Sport,1975,3381.8615604115553,3.0,29467.86936438242,10145.584681234666,2198.1480295723977,8.713505517001805
0_Sport_1985,Sport,1985,4356.7021061255955,3.0,37962.147837658755,13070.106318376787,2831.776516850814,8.713505517001805
0_Sport_1995,Sport,1995,22246.176058755413,3.0,204515.1288450897,66738.52817626623,37718.40757780308,9.193271162870206
0_Sport_2005,Sport,2005,11375.633621060782,3.0,103526.66529668235,34126.900863182345,22602.057249636375,9.100738362829626
0_Sport_2020,Sport,2020,8700.470259720787,4.0,95572.89046482944,34801.88103888315,7632.908482317666,10.984795949167067
0_Health_1900,Health,1900,54046.677357082874,5.0,846682.4043348392,270233.38678541436,157937.85178265523,15.665762369458232
0_Health_1955,Health,1955,44865.17841191004,5.0,702847.2236643302,224325.8920595502,131107.2251751294,15.665762369458232
0_Health_1975,Health,1975,4075.154405662035,3.0,30991.427930437785,12225.463216986105,4309.750384868313,7.604970228214709
0_Health_1985,Health,1985,5249.84049902214,3.0,39924.880697939225,15749.521497066418,5552.0600838392675,7.604970228214709
0_Health_1995,Health,1995,4599.491090188827,3.0,34978.99280582485,13798.473270566481,4864.271760745555,7.604970228214709
0_Health_2005,Health,2005,7250.883148839734,2.0,50674.31558146028,14501.766297679467,5238.5875325575325,6.988709449768066
0_Health_2020,Health,2020,4220.634920046457,2.0,29496.791149749763,8441.269840092915,3049.3065489781525,6.988709449768066
